Group,E.global.wt
HC,0.00177901910178575
HC,0.0021735636741785198
HC,0.00134862424683605
CU,0.000128512238569037
CU,0.00163439897209255
CU,0.0017023364848835199
CU,0.0012796014838599699
CU,0.00134633476609527
CU,0.0014250926610146698
CU,0.0013555000599164198
CU,0.00146437147913694
CU,0.00169737333581515
CU,0.0010726554393675198
CU,0.0010565112336575
HC,0.000951528861838824
HC,0.0015711476168613
CU,0.0020024204926208603
CU,8.04941752185584e-05
CU,0.00146035351574176
CU,0.0008824349605454039
CU,0.00047019388988674295
HC,0.0018411514137489302
HC,0.00186452486279678
CU,0.00208681708375061
HC,0.0015193753954002
HC,0.00148896418103169
HC,0.00185139474271573
CU,0.00111571006334193
CU,0.0020232167331166603
HC,0.00195283528937868
HC,0.00117552550671011
CU,0.0018847186446078802
HC,0.0007663462644880639
CU,0.00129504603003977
HC,0.0019198814560052898
CU,0.00128241370014258
CU,0.0013582722286814301
CU,0.0013594618673054
CU,0.0012347121744355801
HC,0.00174129001760235
HC,0.00121018971897461
HC,0.0015424529617214199
CU,0.000611187069060114
CU,0.00150746296229403
HC,0.0015800688592829
HC,0.00189827877295147
CU,0.00143603495583258
CU,0.00134873321204664
CU,0.0007379320426684161
CU,0.0021924637979587602
CU,0.00149862792231147
HC,0.00236022006478455
CU,0.00132534565879638
HC,0.00196302726765149
CU,0.0017440874587508698
CU,0.0014553498525051
HC,0.00173456069623831
CU,0.00158261218227051
CU,0.00173528396561451
CU,0.0015096327336842099
HC,0.00188704169833786
CU,0.00160433981434161
HC,0.00164695805293435
CU,0.00212505723643742
HC,0.00183734943473125
CU,0.000682669696708898
HC,0.00190332325870682
HC,0.000724667114318321
HC,0.000749356697040591
CU,0.000766668745142481
CU,0.000524890131842451
HC,0.00192069826189077
HC,0.0005464450305627571
HC,0.000830358274203422
HC,0.000822559433711845
HC,0.0022545805008824
HC,0.0015191259924869699
CU,0.0012502124873944099
CU,0.00129160954888315
HC,0.0012857168070905698
HC,0.00169798981021867
CU,0.0016721603230099
HC,0.0018407007710173101
HC,0.0013825422896470302
HC,0.0007309501407247559
CU,0.00157240884045235
HC,0.000974585641638426
CU,0.00149935223479257
HC,0.0009414444694109971
CU,0.0011619867326562198
HC,0.0009751646019497301
HC,0.0015851218607227698
CU,0.00144783715264793
CU,0.00176671535022342
HC,0.0006035765293647059
HC,0.000596642923568548
CU,0.00124975885604706
CU,0.00123282410889508
CU,0.0012024946706872199
CU,0.0012461393177689401
CU,0.00163794865855233
CU,0.000857629375153179
CU,0.00104794411227948
CU,0.00110984158819084
CU,0.000689766556267009
CU,0.00100894477497135
CU,0.000360503702289319
