Group,E.local
HC,0.0383838383838384
HC,0.0445075757575758
HC,0.0443813131313131
CU,0.0
CU,0.063973063973064
CU,0.0638468013468014
CU,0.0686237373737374
CU,0.0595538720538721
CU,0.0696548821548822
CU,0.0658670033670034
CU,0.0643939393939394
CU,0.0716750841750842
CU,0.0605008417508418
CU,0.0660353535353535
HC,0.0448232323232323
HC,0.0446338383838384
CU,0.0646043771043771
CU,0.0113636363636364
CU,0.0751893939393939
CU,0.0599326599326599
CU,0.0327861952861953
HC,0.0395833333333333
HC,0.036300505050505
CU,0.0716750841750842
HC,0.044760101010101
HC,0.0341540404040404
HC,0.0421927609427609
CU,0.0696548821548822
CU,0.0539983164983165
HC,0.0455808080808081
HC,0.0330387205387205
CU,0.0742003367003367
HC,0.0211489898989899
CU,0.0671296296296296
HC,0.0443813131313131
CU,0.0733796296296296
CU,0.0587121212121212
CU,0.0742003367003367
CU,0.0406144781144781
HC,0.0356691919191919
HC,0.0299242424242424
HC,0.0443181818181818
CU,0.0695075757575758
CU,0.0703072390572391
HC,0.0363636363636364
HC,0.0419823232323232
CU,0.0582912457912458
CU,0.0721801346801347
CU,0.0167929292929293
CU,0.0716750841750842
CU,0.0716750841750842
HC,0.0445075757575758
CU,0.0747053872053872
HC,0.0470328282828283
CU,0.0716750841750842
CU,0.0666245791245791
HC,0.0468434343434343
CU,0.0685185185185185
CU,0.065993265993266
CU,0.0634469696969697
HC,0.0445075757575758
CU,0.0740740740740741
HC,0.0381944444444444
CU,0.0714436026936027
HC,0.0338383838383838
CU,0.044949494949495
HC,0.0498106060606061
HC,0.0428661616161616
HC,0.0160984848484848
CU,0.0327861952861953
CU,0.0348484848484849
HC,0.0388257575757576
HC,0.026199494949495
HC,0.0401515151515152
HC,0.0230429292929293
HC,0.0445075757575758
HC,0.0426767676767677
CU,0.0527356902356902
CU,0.0551767676767677
HC,0.039709595959596
HC,0.0356691919191919
CU,0.0603114478114478
HC,0.0394570707070707
HC,0.0296717171717172
HC,0.0416035353535354
CU,0.0716750841750842
HC,0.0119949494949495
CU,0.0691919191919192
HC,0.042003367003367
CU,0.0642887205387205
HC,0.0293560606060606
HC,0.0365530303030303
CU,0.0594907407407407
CU,0.0603114478114478
HC,0.00883838383838384
HC,0.0233585858585859
CU,0.049452861952862005
CU,0.05
CU,0.0683712121212121
CU,0.0582912457912458
CU,0.0739688552188552
CU,0.0520833333333333
CU,0.0482323232323232
CU,0.0532407407407407
CU,0.0463383838383838
CU,0.0493686868686869
CU,0.0433712121212121
