Group,assortativity
HC,0.40925227424007105
HC,0.48786564547384004
HC,0.5636324648868871
CU,-0.0256410256410256
CU,0.551249834677953
CU,0.4887750489679071
CU,0.475015103132821
CU,0.55256064690027
CU,0.6328752572528721
CU,0.5922434276078791
CU,0.45441089402013
CU,0.5243543075056339
CU,0.6479807112718511
CU,0.615294576667967
HC,0.374659400544959
HC,0.5041704093417171
CU,0.601841341909446
CU,0.619718309859155
CU,0.48391420911528105
CU,0.5581605049594229
CU,0.481609195402299
HC,0.47826086956521796
HC,0.5264452644526451
CU,0.517299375300337
HC,0.5578312151412641
HC,0.331546929316338
HC,0.47434339657912
CU,0.621669626998224
CU,0.50920245398773
HC,0.510420112471055
HC,0.5790902919212491
CU,0.515921288014311
HC,0.326218097447796
CU,0.66948387626159
HC,0.515320334261839
CU,0.467831392124237
CU,0.33659122085048
CU,0.515028726942849
CU,0.621669626998224
HC,0.4975685842737871
HC,0.500470999865429
HC,0.40508806262230895
CU,0.599209078404402
CU,0.46630061770761794
HC,0.369080636877247
HC,0.5090479937057429
CU,0.6212338593974179
CU,0.577507792125183
CU,0.499882047652748
CU,0.5243543075056339
CU,0.507683591813611
HC,0.517794486215539
CU,0.586279130662477
HC,0.420951381601959
CU,0.5226044080080791
CU,0.533589251439539
HC,0.39161976235147
CU,0.478654592496766
CU,0.49585672280139
CU,0.43864181583317896
HC,0.513791957460951
CU,0.568431568431569
HC,0.434201736806947
CU,0.48339187773464004
HC,0.325869827680825
CU,0.35042309606769606
HC,0.45665773011617494
HC,0.554054054054054
HC,0.385549483910139
CU,0.5978552278820379
CU,0.5566922421142371
HC,0.5476322604513499
HC,0.23358526216343897
HC,0.47234600262123205
HC,0.40397963905599293
HC,0.490791896869245
HC,0.3756353500573871
CU,0.576745279323043
CU,0.49421296296296297
HC,0.576625548818733
HC,0.537891119551456
CU,0.527738598965679
HC,0.493067590987868
HC,0.412890579960798
HC,0.47201997087580605
CU,0.536668628605062
HC,0.245508982035928
CU,0.61182437787288
HC,0.418799918083146
CU,0.47994844970055295
HC,0.34527027027027
HC,0.30275831873905396
CU,0.43887250081940293
CU,0.505240286298568
HC,0.126743480897514
HC,0.3268779342723
CU,0.575300095736063
CU,0.310152990264256
CU,0.509988722410182
CU,0.665356957520943
CU,0.473619868742761
CU,0.442307692307692
CU,0.5612495057334921
CU,0.63153983353151
CU,0.35969868173258
CU,0.515882399306377
CU,0.6857030326900351
